year       ,Jmprec,Fprec,ln(lxbx+0.5),SP,,,,,,,,,,,
1986,8.001,2.3114,2.5742,STMI,,,,,,,,,,,
1987,8.3312,4.5974,2.4921,STMI,,,,,,,,,,,
1988,2.7178,1.0922,0.488,STMI,,,,,,,,,,,
1989,4.445,0.2032,-0.6931,STMI,,,,,,,,,,,
1990,8.4328,1.7018,.,STMI,,,,,,,,,,,
1991,10.2616,2.0828,.,STMI,,,,,,,,,,,
1992,14.1224,5.1562,4.6489,STMI,,,,,,,,,,,
1993,20.6248,3.7084,4.0658,STMI,,,,,,,,,,,
1994,6.5278,3.2258,3.4177,STMI,,,,,,,,,,,
1995,9.3218,4.7244,3.9018,STMI,,,,,,,,,,,
1996,4.5974,3.7846,-0.6931,STMI,,,,,,,,,,,
1997,3.8608,1.778,-0.6931,STMI,,,,,,,,,,,
1998,16.0274,10.668,2.1206,STMI,,,,,,,,,,,
1999,0.1016,0,-0.6931,STMI,,,,,,,,,,,
2000,3.683,0.2794,.,STMI,,,,,,,,,,,
2001,6.0706,0.4064,5.0501,STMI,,,,,,,,,,,
2002,0.762,0.0762,.,STMI,,,,,,,,,,,
2003,4.3688,2.8702,-0.6931,STMI,,,,,,,,,,,
2004,5.2578,0.8128,0.6898,STMI,,,,,,,,,,,
2005,10.414,5.6896,4.4637,STMI,,,,,,,,,,,
